,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
1,80.0,52.936405,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
2,80.0,49.827705,80.0,80.0,80.0,80.0,80.0,80.0,46.925335,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
3,80.0,49.972157,50.498875,49.075176,47.406647,80.0,80.0,80.0,49.36392,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
4,80.0,50.78455,51.42351,49.52899,48.982704,50.048355,50.761375,50.13557,50.803623,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
5,80.0,50.093227,51.024193,49.695072,49.554985,49.120598,50.61933,49.943142,49.806522,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
6,80.0,50.0082,49.037632,49.30198,49.438248,49.379368,50.20285,51.007385,50.62212,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
7,80.0,80.0,80.0,48.902554,48.713333,50.216854,50.85163,48.883595,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
8,80.0,80.0,80.0,48.718403,50.829227,50.02832,50.832497,49.677788,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
9,80.0,80.0,80.0,50.61576,53.05758,51.17103,51.177116,51.832676,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
10,80.0,51.943626,51.810135,54.225834,57.95509,53.89085,51.141747,51.425777,52.84263,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
11,80.0,52.58098,54.934063,58.47121,64.091545,58.191574,54.065224,52.08334,52.149956,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
12,80.0,54.430977,58.801765,64.25406,71.91829,64.70537,58.139942,54.027378,50.01097,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
13,80.0,57.967358,64.34945,71.93551,80.56295,72.26939,64.658394,58.753902,52.79084,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
14,80.0,64.21695,72.038475,80.614235,89.84912,80.69517,72.479256,65.14911,58.543133,52.58876,80.0,80.0,38.119766,34.17559,30.651264,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
15,80.0,71.56549,80.24139,89.672325,99.99988,89.89989,80.80989,72.62889,65.26599,58.63939,52.675446,47.30788,42.476852,38.125282,34.19669,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
16,80.0,80.0,80.0,80.0,89.89989,100.0,89.899994,80.81,72.629,65.26597,58.63896,52.67419,47.30433,42.46116,38.06739,34.093395,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
17,80.0,80.0,80.0,80.0,100.0,89.899994,80.81,72.629,65.2661,58.63949,52.675537,47.307983,42.47719,38.129475,34.21657,30.695654,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
18,80.0,80.0,80.0,80.0,89.899994,80.81,72.629,65.2661,58.63949,52.675545,47.30799,42.477196,38.129494,34.21675,30.69591,27.530737,24.682117,22.124672,19.850555,17.96824,16.463737,15.4674,80.0,80.0
19,80.0,80.0,80.0,80.0,80.81,72.629,65.2661,58.63949,52.675545,47.30799,42.477196,38.129486,34.216644,30.695564,27.529226,24.689081,22.144268,19.909908,17.963398,16.38023,15.400404,15.206256,80.0,80.0
20,80.0,52.67549,58.63949,65.2661,72.629,65.2661,58.63949,52.675537,47.30799,42.477196,38.12948,34.21654,30.695232,27.527262,24.687557,22.169653,19.943539,18.077145,16.758839,15.39234,15.443064,15.868966,80.0,80.0
21,80.0,47.308006,52.675537,58.63949,65.2661,58.63949,52.675545,47.30799,42.477196,38.12948,34.21654,30.69499,27.527248,24.684902,22.154348,19.954245,18.100151,16.880922,15.660837,15.408348,15.325681,16.330275,80.0,80.0
22,80.0,42.477432,47.307976,52.675537,58.63949,52.675537,47.30799,42.477196,38.12948,34.21653,30.69489,27.525501,24.674526,22.119455,19.865686,18.032925,16.594076,15.736605,15.038195,14.851049,15.358219,16.2968,80.0,80.0
23,80.0,38.13265,42.477306,47.307983,52.675537,47.307983,42.477196,38.12948,34.21653,30.694878,27.525404,24.674664,22.110344,19.828522,17.881638,16.554567,15.405466,14.61076,14.770553,15.097711,14.747679,15.944706,80.0,80.0
24,80.0,80.0,80.0,42.47718,47.307983,42.47719,38.12948,34.21653,30.694878,27.52539,24.672905,22.107399,19.813116,17.786108,16.089167,14.893643,14.7486315,14.120173,14.291794,14.227694,80.0,80.0,80.0,80.0
25,80.0,80.0,80.0,38.129463,42.47718,38.12947,34.21653,30.694878,27.52539,24.672852,22.105652,19.79668,17.735168,15.966608,14.576046,13.738083,13.9883,13.840918,13.861574,13.834751,80.0,80.0,80.0,80.0
26,80.0,80.0,80.0,34.216522,38.129463,34.216522,30.694878,27.52539,24.672852,22.105568,19.795525,17.72683,15.872556,14.287423,13.20986,13.109655,13.407221,13.462827,13.838497,13.865585,80.0,80.0,80.0,80.0
27,80.0,80.0,80.0,30.69487,34.216515,30.69487,27.52539,24.672852,22.105568,19.795013,17.715973,15.854147,14.192908,12.872343,12.074641,12.544015,12.970132,13.231363,13.808711,13.435549,80.0,80.0,80.0,80.0
28,80.0,80.0,80.0,27.525383,30.694862,27.525383,24.672852,22.105568,19.795013,17.715511,15.846173,14.170326,12.708794,11.644321,11.181648,12.126726,12.836018,13.06125,13.516043,13.369607,80.0,80.0,80.0,80.0
29,80.0,80.0,80.0,24.672844,27.525375,24.672844,22.105568,19.795013,17.715511,15.84396,80.0,80.0,11.5935955,80.0,80.0,80.0,13.882381,13.362053,80.0,80.0,80.0,80.0,80.0,80.0
30,80.0,80.0,80.0,22.10556,24.672838,22.10556,19.795013,17.715511,15.84396,14.159565,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
31,80.0,80.0,80.0,19.795006,22.105556,19.795006,17.715511,15.84396,14.159565,12.643608,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
32,80.0,80.0,80.0,17.715508,19.795002,17.715508,15.84396,14.159565,12.643608,11.279247,10.051323,8.946192,7.9515724,7.0564156,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
33,80.0,12.643608,14.159563,15.843958,17.715504,15.843958,14.159565,12.643608,11.279247,10.051323,8.946192,7.9515724,7.0564156,6.2507744,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
34,80.0,11.279252,12.643608,14.159563,15.843954,14.159563,12.643608,11.279247,10.051323,8.946192,7.9515724,7.0564156,6.2507744,5.5256968,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
35,80.0,10.051334,11.279247,12.643608,14.159559,12.643608,11.279247,10.051323,8.946192,7.9515724,7.0564156,6.2507744,5.5256968,4.873127,4.2858143,3.7572331,3.2815099,2.8533592,2.4680233,2.121221,80.0,80.0,80.0,80.0
36,80.0,8.946299,10.051323,11.279247,12.643604,11.279247,10.051323,8.946192,7.9515724,7.0564156,6.2507744,5.5256968,4.873127,4.2858143,3.7572331,3.2815099,2.8533592,2.4680233,2.121221,1.809099,80.0,80.0,80.0,80.0
37,80.0,7.952096,8.946192,10.051323,11.279243,10.051323,8.946192,7.9515724,7.0564156,6.2507744,5.5256968,4.873127,4.2858143,80.0,80.0,80.0,2.4680233,2.121221,1.809099,1.5281892,80.0,80.0,80.0,80.0
38,80.0,80.0,7.9515734,8.946192,10.051319,8.946192,7.9515724,7.0564156,6.2507744,5.5256968,4.873127,4.2858143,3.7572331,80.0,80.0,80.0,2.121221,1.809099,1.5281892,1.2753704,80.0,80.0,80.0,80.0
39,80.0,80.0,7.0564194,7.9515724,8.946188,7.9515724,7.0564156,6.2507744,5.5256968,4.873127,4.2858143,3.7572331,3.2815099,80.0,80.0,80.0,1.809099,1.5281892,1.2753704,1.0478334,80.0,80.0,80.0,80.0
40,80.0,80.0,6.2507806,7.0564156,7.9515696,7.0564156,6.2507744,5.5256968,4.873127,4.2858143,3.7572331,3.2815099,2.8533592,2.4680233,2.121221,1.809099,1.5281892,1.2753704,1.0478334,0.8430501,0.65874517,0.4928707,0.34358364,80.0
41,80.0,80.0,5.5257044,6.2507744,7.0564127,6.2507744,5.5256968,4.873127,4.2858143,3.7572331,3.2815099,2.8533592,2.4680233,2.121221,1.809099,1.5281892,1.2753704,1.0478334,0.8430501,0.65874517,0.4928707,0.34358364,0.2092253,80.0
42,80.0,80.0,4.873151,5.5256968,6.2507715,5.5256968,4.873127,4.2858143,3.7572331,3.2815099,2.8533592,2.4680233,2.121221,1.809099,1.5281892,1.2753704,1.0478334,0.8430501,0.65874517,0.4928707,0.34358364,0.2092253,0.088302776,80.0
43,80.0,3.7574253,4.2859507,4.873127,5.525695,4.873127,4.2858143,3.7572331,3.2815099,2.8533592,2.4680233,2.121221,1.809099,1.5281892,1.2753704,1.0478334,0.8430501,0.65874517,0.4928707,0.34358364,0.2092253,0.088302776,-0.0205275,80.0
44,80.0,3.284182,3.7579496,4.285816,4.873126,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,-0.0205275,-0.11847475,80.0
45,80.0,2.8631797,3.283877,3.757558,4.285823,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,-0.11847475,80.0,80.0
46,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
